-45.8838, -13.5832, 270
-45.8896, -13.5942, 269.277
-45.7755, -13.6025, 270.289
-45.2545, -13.5889, 271.862
-44.5554, -13.7365, 273.858
-43.3631, -13.9514, 276.394
-42.269, -14.2318, 278.795
-40.528, -14.5769, 280.855
-38.478, -14.9537, 282.615
-36.952, -15.2907, 284.657
-34.5502, -15.9139, 287.358
-32.858, -16.4715, 290.447
-30.4717, -17.3263, 292.392
-29.8288, -17.4812, 295.019
-29.3794, -17.4838, 300.806
-28.2751, -17.6457, 309.506
-27.6539, -18.0841, 319.695
-26.713, -18.4235, 330.423
-26.1352, -18.8903, 341.169
-25.7534, -19.8219, 350.711
-25.5552, -20.4206, 361.133
-25.517, -21.5264, 372.072
-25.2442, -22.2548, 383.51
-25.0068, -23.6509, 394.771
-24.5656, -24.6202, 406.233
-24.5598, -25.8232, 417.912
-24.5851, -27.018, 426.361
-24.4179, -27.8936, 430.67
-24.3108, -28.6232, 430.996
-24.6766, -28.9292, 429.07
-25.4268, -29.61, 426.45
-26.1582, -30.1203, 424.16
-27.7025, -30.9757, 422.459
-28.8494, -31.6542, 421.562
-30.875, -32.779, 421.824
-32.3441, -33.6218, 422.627
-34.8713, -34.923, 423.223
-36.7454, -35.8663, 423.946
-39.551, -37.2561, 424.705
-42.6046, -38.6897, 425.463
-44.6448, -39.6435, 426.573
-47.7451, -41.0144, 428.608
-49.6366, -41.9538, 432.057
-52.39, -42.8316, 435.698
-54.0815, -43.2615, 438.462
-56.3501, -44.0043, 440.566
-57.5591, -44.2437, 443.048
-59.5078, -44.575, 445.379
-59.7992, -44.5333, 447.529
-59.8161, -44.5264, 448.619
-59.8166, -44.5117, 449.214
-59.6598, -44.564, 449.631
-59.8592, -44.5652, 449.634
-60.3289, -44.5636, 449.274
-60.3957, -44.6067, 448.889
-56.8879, -47.3484, 448.794
-56.873, -47.3209, 448.589
-56.4794, -47.3125, 448.657
-55.9431, -47.279, 448.838
-54.5977, -47.2453, 448.592
-53.4841, -47.2007, 447.945
-51.8534, -47.0454, 447.934
-50.2243, -47.0146, 448.122
-48.0895, -46.894, 448.019
-46.2449, -46.7495, 447.803
-43.6684, -46.641, 448.167
-41.5813, -46.5324, 448.318
-38.5317, -46.4516, 448.55
-35.0409, -46.3436, 448.609
-32.7849, -46.2613, 448.515
-30.909, -46.1742, 442.978
-30.0776, -46.0555, 435.932
-30.306, -46.2044, 433.749
-30.2622, -46.1787, 432.97
-30.2537, -46.1713, 432.663
-30.2591, -46.1712, 432.548
-30.241, -46.1837, 433.673
-30.4704, -46.2321, 434.12
-30.4635, -46.2538, 434.037
-30.4648, -46.2535, 433.991
-30.4648, -46.2533, 433.981
-30.465, -46.2541, 434.029
-30.465, -46.2544, 434.048
-30.4651, -46.2547, 434.066
-30.4651, -46.255, 434.078
-30.465, -46.2544, 434.046
-30.4651, -46.2549, 434.074
-30.4649, -46.2537, 434.003
-30.4652, -46.2554, 434.103
-30.465, -46.2541, 434.029
-30.4648, -46.2534, 433.988
-30.4649, -46.2539, 434.017
-30.465, -46.2541, 434.026
-30.4648, -46.2534, 433.989
-30.465, -46.2541, 434.027
-30.465, -46.2545, 434.05
-30.4649, -46.2541, 434.026
-30.465, -46.2542, 434.031
-30.4649, -46.2541, 434.025
-27.21, -46.6367, 434.027
-27.21, -46.6367, 434.026
-27.2793, -46.62, 434.908
-27.3502, -46.5938, 436.845
-27.7213, -46.7213, 440.157
-28.003, -46.7068, 444.678
-28.6633, -46.2567, 448.684
-29.2214, -46.1628, 452.421
-29.5612, -45.79, 458.437
-29.8425, -45.109, 463.682
-30.0036, -44.297, 469.119
-30.5387, -43.4564, 475.574
-30.8764, -43.039, 477.019
-31.6898, -42.3528, 473.324
-31.9174, -42.083, 466.614
-32.8108, -41.7462, 457.904
-33.2948, -41.5663, 449.615
-33.621, -41.1282, 445.46
-33.6717, -40.9342, 440.277
-33.6727, -40.5494, 436.023
-33.1429, -40.1368, 432.217
-32.7002, -39.7803, 430.453
-31.7493, -39.2111, 429.426
-30.9088, -38.777, 428.869
-29.5373, -38.2663, 429.609
-28.5976, -37.8909, 431.65
-27.223, -37.2662, 434.492
-26.4237, -36.7713, 437.645
-25.1342, -36.249, 441.493
-23.7715, -35.8081, 444.311
-22.9475, -35.3545, 447.05
-21.5855, -35.0834, 450.21
-20.7813, -34.84, 453.144
-19.5007, -34.8793, 455.544
-18.4198, -34.8362, 456.316
-16.919, -34.8582, 456.312
-15.8338, -34.807, 456.215
-14.232, -34.7804, 455.957
-12.6688, -34.6838, 457.058
-11.6559, -34.6422, 459.19
-10.1979, -34.46, 460.691
-9.48042, -33.9771, 460.186
-8.62941, -34.1454, 458.83
-8.27732, -34.0893, 458.126
-8.03311, -34.1151, 459.047
-8.03073, -34.0523, 459.686
-8.11358, -34.0855, 459.596
-8.19142, -34.0693, 459.388
-8.27094, -34.0571, 459.45
-8.30359, -34.0508, 459.396
-8.30669, -34.0506, 459.412
-8.3067, -34.0506, 459.413
-8.3067, -34.0506, 459.412
-8.30661, -34.0505, 459.404
-8.30672, -34.0506, 459.415
-8.30657, -34.0504, 459.401
-8.30664, -34.0505, 459.407
-8.30663, -34.0505, 459.406
-8.30667, -34.0505, 459.41
-8.30655, -34.0504, 459.399
-8.30656, -34.0504, 459.4
-8.30655, -34.0504, 459.399
-8.30658, -34.0504, 459.401
